number,value,datetime_start,datetime_complete,duration,params_config,params_lr,params_prob_flip,params_weight_decay,state
0,0.0,2026-03-24 11:52:00.658381,2026-03-24 11:57:26.659812,0 days 00:05:26.001431,configs/experiments/upernet_r50_20k_coco_animals.py,0.00018015356497790174,0.5381988653300707,3.22807477800857e-05,COMPLETE
1,0.0,2026-03-24 11:57:26.659812,2026-03-24 12:02:02.153008,0 days 00:04:35.493196,configs/experiments/fcn_r50_d8_20k_coco_animals.py,0.0012143619680392813,0.8990166301609045,0.00020964363282764567,COMPLETE
2,0.0,2026-03-24 12:02:02.153744,2026-03-24 12:04:53.070362,0 days 00:02:50.916618,configs/experiments/segformer_mit-b0_20k_coco_animals.py,0.0002600937645595406,0.5057308766114719,0.00014683861702452207,COMPLETE
3,0.0,2026-03-24 12:04:53.070362,2026-03-24 12:07:43.176036,0 days 00:02:50.105674,configs/experiments/segformer_mit-b0_20k_coco_animals.py,0.00041134456680622653,0.7253546977725466,3.687408183915013e-05,COMPLETE
4,0.0,2026-03-24 12:07:43.176036,2026-03-24 12:13:14.618554,0 days 00:05:31.442518,configs/experiments/pspnet_r50_d8_20k_coco_animals.py,0.0010518627434649539,0.8264379351223884,4.164740418005783e-05,COMPLETE
5,0.0,2026-03-24 12:13:14.619214,2026-03-24 12:18:28.416341,0 days 00:05:13.797127,configs/experiments/fcn_r50_d8_20k_coco_animals.py,0.0051504489846874125,0.19795609365168376,4.092570596982654e-05,COMPLETE
6,0.0,2026-03-24 12:18:28.417338,2026-03-24 12:21:16.918437,0 days 00:02:48.501099,configs/experiments/segformer_mit-b0_20k_coco_animals.py,0.00015603809298707325,0.5927877193672689,1.435453941759039e-05,COMPLETE
7,0.0,2026-03-24 12:21:16.918949,2026-03-24 12:24:05.237025,0 days 00:02:48.318076,configs/experiments/segformer_mit-b0_20k_coco_animals.py,0.00039162197258431184,0.46828472969029555,6.653688984384463e-05,COMPLETE
8,0.0,2026-03-24 12:24:05.237735,2026-03-24 12:26:53.622446,0 days 00:02:48.384711,configs/experiments/segformer_mit-b0_20k_coco_animals.py,0.00016834590244041577,0.3824731486463533,3.776267078798218e-05,COMPLETE
9,0.0,2026-03-24 12:26:53.623576,2026-03-24 12:32:33.814051,0 days 00:05:40.190475,configs/experiments/deeplabv3plus_r50_d8_20k_coco_animals.py,0.0019810271558064686,0.03409875684000985,1.2881165705068162e-05,COMPLETE
10,0.0,2026-03-24 12:32:33.815335,2026-03-24 12:37:55.265261,0 days 00:05:21.449926,configs/experiments/upernet_r50_20k_coco_animals.py,0.004943953423990091,0.2966875670978311,0.0007813736811864442,COMPLETE
11,0.0,2026-03-24 12:37:55.265261,2026-03-24 12:43:10.036496,0 days 00:05:14.771235,configs/experiments/fcn_r50_d8_20k_coco_animals.py,0.0010296909349932451,0.9799619425182282,0.00022190582835544337,COMPLETE
12,0.0,2026-03-24 12:43:10.036496,2026-03-24 12:48:49.070754,0 days 00:05:39.034258,configs/experiments/upernet_r50_20k_coco_animals.py,0.001919881616554477,0.9044413838124028,0.00024698514410180413,COMPLETE
13,0.0,2026-03-24 12:48:49.071084,2026-03-24 12:54:04.020868,0 days 00:05:14.949784,configs/experiments/fcn_r50_d8_20k_coco_animals.py,0.0005743495034603103,0.7344901313095296,0.0005097302474954902,COMPLETE
14,0.0,2026-03-24 12:54:04.022297,2026-03-24 12:59:43.391586,0 days 00:05:39.369289,configs/experiments/upernet_r50_20k_coco_animals.py,0.0001085162727346348,0.6455136212824897,9.558702265636988e-05,COMPLETE
